 country_id | year |       ratio        
------------+------+--------------------
          5 | 2005 |  0.674624606446585
          5 | 2012 |  0.593141847643397
         29 | 2008 |   0.58828048691848
          5 | 2003 |   0.59859782576544
         44 | 2009 |  0.336233415384048
         29 | 2015 |  0.684885460192316
         44 | 2001 |  0.596068872274585
         54 | 2014 |  0.481360710970905
         29 | 2004 |   0.60906221723329
          5 | 2014 |   0.52649404303665
         44 | 2005 |  0.617821513517885
         43 | 2004 |   0.42794605505641
         43 | 2009 |  0.406301129446964
         29 | 2006 |  0.646668920734525
         29 | 2011 |   0.61108324354701
         54 | 2009 |  0.570270070728556
         44 | 2014 |  0.355964192402264
         43 | 2007 |  0.604199081949305
         54 | 2004 |  0.429994724264431
         54 | 2005 |  0.776524679019771
         43 | 2002 |  0.644150635400617
         44 | 2010 |   0.65774432045679
         54 | 2013 |  0.715288819940949
         44 | 2004 | 0.0385164235821026
         54 | 2002 |  0.790826842074181
          5 | 2009 |  0.692635954698054
         43 | 2012 |  0.572220530555636
         43 | 2014 |  0.424277907230364







 country_id | year1 | year2 |       ratio1       |      ratio2       
------------+-------+-------+--------------------+-------------------
         43 |  2004 |  2007 |   0.42794605505641 | 0.604199081949305
         43 |  2004 |  2012 |   0.42794605505641 | 0.572220530555636
         43 |  2009 |  2014 |  0.406301129446964 | 0.424277907230364
         43 |  2009 |  2012 |  0.406301129446964 | 0.572220530555636
          5 |  2003 |  2009 |   0.59859782576544 | 0.692635954698054
          5 |  2003 |  2005 |   0.59859782576544 | 0.674624606446585
         44 |  2005 |  2010 |  0.617821513517885 |  0.65774432045679
          5 |  2005 |  2009 |  0.674624606446585 | 0.692635954698054
         29 |  2011 |  2015 |   0.61108324354701 | 0.684885460192316
         44 |  2009 |  2010 |  0.336233415384048 |  0.65774432045679
         44 |  2009 |  2014 |  0.336233415384048 | 0.355964192402264
         44 |  2004 |  2009 | 0.0385164235821026 | 0.336233415384048
         44 |  2004 |  2005 | 0.0385164235821026 | 0.617821513517885
         44 |  2004 |  2010 | 0.0385164235821026 |  0.65774432045679
         44 |  2004 |  2014 | 0.0385164235821026 | 0.355964192402264
         29 |  2008 |  2011 |   0.58828048691848 |  0.61108324354701
         29 |  2008 |  2015 |   0.58828048691848 | 0.684885460192316
         54 |  2004 |  2009 |  0.429994724264431 | 0.570270070728556
         54 |  2004 |  2014 |  0.429994724264431 | 0.481360710970905
         54 |  2004 |  2013 |  0.429994724264431 | 0.715288819940949
         54 |  2004 |  2005 |  0.429994724264431 | 0.776524679019771
         29 |  2006 |  2015 |  0.646668920734525 | 0.684885460192316
         54 |  2009 |  2013 |  0.570270070728556 | 0.715288819940949
         44 |  2001 |  2005 |  0.596068872274585 | 0.617821513517885
         44 |  2001 |  2010 |  0.596068872274585 |  0.65774432045679
         29 |  2004 |  2006 |   0.60906221723329 | 0.646668920734525
         29 |  2004 |  2011 |   0.60906221723329 |  0.61108324354701
         29 |  2004 |  2015 |   0.60906221723329 | 0.684885460192316


